countryName,countryEnglishName,province_confirmedCount,updateTime,,,,,
斯威士兰,Swaziland,486,2020/6/15,,,,,
根西岛,Guernsey,252,2020/6/15,,,,,
格鲁吉亚,Georgia,864,2020/6/15,,,,,
贝宁,Benin,442,2020/6/15,,,,,
苏里南,Suriname,187,2020/6/15,,,,,
直布罗陀,Gibraltar,176,2020/6/15,,,,,
关岛,Guam,177,2020/6/15,,,,,
卢森堡,Luxembourg,4063,2020/6/15,,,,,
瓜德罗普岛,,171,2020/6/15,,,,,
百慕大,,142,2020/6/15,,,,,
钻石公主号邮轮,Diamond Princess Cruise Ship,712,2020/6/15,,,,,
缅甸,Burma,261,2020/6/15,,,,,
圭亚那,Guyana,159,2020/6/15,,,,,
克罗地亚,Croatia,2251,2020/6/15,,,,,
斯洛伐克,Slovakia,1545,2020/6/15,,,,,
安哥拉,Angola,138,2020/6/15,,,,,
突尼斯,Tunisia,1094,2020/6/15,,,,,
越南,Vietnam,334,2020/6/15,,,,,
不丹,Kingdom of Bhutan,66,2020/6/15,,,,,
斯洛文尼亚,Slovenia,1509,2020/6/15,,,,,
冰岛,Iceland,1808,2020/6/15,,,,,
纳米比亚,Namibia,32,2020/6/15,,,,,
厄立特里亚,,65,2020/6/15,,,,,
安提瓜和巴布达,Antigua and Barbuda,26,2020/6/15,,,,,
新西兰,New Zealand,1154,2020/6/15,,,,,
美国,United States of America,2092850,2020/6/15,,,,,
巴西,Brazil,867882,2020/6/15,,,,,
英国,United Kingdom,295889,2020/6/15,,,,,
秘鲁,Peru,225132,2020/6/15,,,,,
西班牙,Spain,243928,2020/6/15,,,,,
瑞典,Sweden,51614,2020/6/15,,,,,
比利时,Belgium,60029,2020/6/15,,,,,
伊朗,Iran,187427,2020/6/15,,,,,
意大利,Italy,236989,2020/6/15,,,,,
卡塔尔,Qatar,79602,2020/6/15,,,,,
印度尼西亚,Indonesia,38277,2020/6/15,,,,,
墨西哥,Mexico,142690,2020/6/15,,,,,
伊拉克,Iraq,20209,2020/6/15,,,,,
德国,Germany,186269,2020/6/15,,,,,
加蓬,Gabon,3463,2020/6/15,,,,,
索马里,Somali,2579,2020/6/15,,,,,
几内亚比绍,,1460,2020/6/15,,,,,
赤道几内亚,The Republic of Equatorial Guinea,1664,2020/6/15,,,,,
韩国,Korea,12085,2020/6/15,,,,,
匈牙利,Hungary,4064,2020/6/15,,,,,
马来西亚,Malaysia,8445,2020/6/15,,,,,
爱尔兰,Ireland,25295,2020/6/15,,,,,
